framenr,mean,std,threshold,score,distance
2016,0.012629791094453339,0.004812707655285044,0.017442498749738383,8.777777777777779,4.949747468305833
2017,0.012343203864108865,0.004095680797718319,0.016438884661827184,5.066666666666666,3.5
2018,0.012021438180695423,0.005062130831791056,0.017083569012486477,6.5,4.949747468305833
2019,0.012618037624217966,0.005921445644956271,0.018539483269174237,5.5,3.5
2020,0.013130298933775836,0.005789583206226184,0.01891988214000202,6.25,3.5
2021,0.013366821223868914,0.006527947328064326,0.01989476855193324,11.714285714285714,4.949747468305833
2022,0.012944862329051262,0.005765260512436305,0.018710122841487566,6.666666666666667,7.0
2023,0.013349017789873723,0.006361652789546274,0.019710670579419998,12.428571428571429,4.949747468305833
2024,0.012264237680724033,0.0040713930339965985,0.016335630714720634,-1.9333333333333333,3.5
2025,0.012176822410019446,0.004310669115274235,0.01648749152529368,3.0,3.5
2026,0.012119493042839696,0.0047549051781158305,0.016874398220955527,3.142857142857143,7.0
2027,0.011529867449168377,0.0026159304790152674,0.01519217011978975,-2.5,3.5
2028,0.012320341408693822,0.004538537226367677,0.016858878635061497,2.5384615384615383,3.5
2029,0.01255104843189707,0.005721176241146117,0.018272224673043187,9.5,7.0
2030,0.013840592246747913,0.00843891311786041,0.02227950536460832,3.25,3.5
2031,0.013992664642462035,0.008504424636897904,0.02249708927935994,0.5,4.949747468305833
2032,0.012773265388961997,0.005518007985833004,0.018291273374795,3.727272727272727,3.5
2033,0.012890427556601426,0.0056786662858387005,0.018569093842440126,3.2857142857142856,3.5
2034,0.01223649874589913,0.004235996264053231,0.018590493141978977,6.25,3.5
2035,0.013128998787623018,0.006215946432294287,0.019344945219917305,10.0,7.0
2036,0.011853652270733189,0.0033549027554105933,0.015544045301684841,5.5,3.5
2037,0.011970661699139766,0.004430769145851508,0.016401430844991273,7.818181818181818,4.949747468305833
2038,0.012825446326390471,0.004765595231722646,0.017591041558113116,12.117647058823529,3.5
2039,0.012926798120756075,0.004876024755101639,0.017802822875857716,4.117647058823529,3.5
2040,0.012353392688544282,0.004345684385978528,0.01669907707452281,3.2666666666666666,3.5
2041,0.013607843733310435,0.006444256365830542,0.020052100099140976,5.375,4.949747468305833
2042,0.013449613338769349,0.005912776632045215,0.01936238997081456,8.583333333333334,3.5
2043,0.01396097683966582,0.007073633080210654,0.021034609919876473,7.7,3.5
2044,0.012574328126192105,0.004738915197025872,0.017313243323217976,9.777777777777779,3.5
2045,0.012200798744230173,0.004973808732973347,0.01717460747720352,10.0,7.0
2046,0.0126130121309224,0.004667760653222206,0.017280772784144607,6.125,4.949747468305833
2047,0.014372538290608059,0.008667432243257396,0.023039970533865455,5.428571428571429,4.949747468305833
2048,0.01310061536774242,0.0059152729398441175,0.019015888307586538,14.571428571428571,4.949747468305833
2049,0.0115661746824216,0.003098685821999993,0.014974729086621593,-4.222222222222222,3.5
2050,0.011247542015955209,0.0019822372240110965,0.01580668763118073,-2.3,3.5
2051,0.011194645811875329,0.0019792442404895664,0.01535105871690342,4.75,3.5
2052,0.011519913321602952,0.0031416304689554355,0.015289869884349475,13.6875,4.949747468305833
2053,0.012255688009031424,0.004666152414366502,0.016921840423397925,4.923076923076923,4.949747468305833
2054,0.012505502337729828,0.005626451153928062,0.01813195349165789,16.0,4.949747468305833
2055,0.012388802113136102,0.0038937662026608867,0.01628256831579699,4.2631578947368425,3.5
2056,0.012715064290550842,0.004483337995578477,0.01719840228612932,8.142857142857142,7.0
2057,0.01310163611285953,0.006450733687362879,0.01955236980022241,2.6666666666666665,3.5
2058,0.012960311343652237,0.005641605011255346,0.018601916354907582,7.25,4.949747468305833
2059,0.012604939303664065,0.004970635573612758,0.017575574877276824,8.0,3.5
2060,0.012958560430495147,0.005719165936649535,0.01867772636714468,4.142857142857143,7.0
2061,0.012493927684157313,0.005430584111780877,0.017924511795938187,8.875,4.949747468305833
2062,0.012138104877164865,0.0036487209326223472,0.015786825809787214,7.2272727272727275,3.5
2063,0.013005090016308073,0.005612707490501269,0.018617797506809343,9.0,4.949747468305833
2064,0.012820461811913472,0.005070113622209412,0.017890575434122882,5.2,4.949747468305833
2065,0.011563164601930258,0.002414458837989005,0.014943406975114865,-4.476190476190476,3.5
2066,0.011608859709983207,0.003021604589174917,0.015234785216993106,-3.7058823529411766,3.5
2067,0.0123772721637293,0.004029922367020086,0.016407194530749385,7.4,3.5
2068,0.012588666987344541,0.004847582305114499,0.01743624929245904,7.5,4.949747468305833
2069,0.012795155528772785,0.005106386576336788,0.017901542105109573,3.0833333333333335,3.5
2070,0.013615924011263058,0.006979184506700331,0.02059510851796339,10.11111111111111,4.949747468305833
2071,0.013416632840514602,0.006652401722893238,0.02006903456340784,0.0,3.5
2072,0.01218418369597352,0.004120202052296968,0.01630438574827049,8.818181818181818,3.5
2073,0.012581659609369033,0.00464530369196931,0.018156024039732203,5.538461538461538,4.949747468305833
